,price,log_yield,yield
2018-05-01,40.03338241577149,0.0229705428150288,0.02323639743944028
2018-05-02,41.80186080932617,0.0432271890530542,0.044175093055788706
2018-05-03,41.87761306762695,0.0018105343039173,0.0018121743107637478
2018-05-04,43.5206184387207,0.0384834230819625,0.03923350092662892
2018-05-07,43.83548355102539,0.0072088032473332,0.007234849218607398
2018-05-08,44.04618453979492,0.0047951159114249,0.004806630877569162
2018-05-09,44.35631561279297,0.0070163704592138,0.007041042856228641
2018-05-10,44.99078750610352,0.0142026442120672,0.014303980944881722
2018-05-11,44.819671630859375,-0.003810604776966,-0.0038033536359178832
2018-05-14,44.71509552001953,-0.0023359899561314,-0.0023332636548778485
2018-05-15,44.30872344970703,-0.0091295767262327,-0.009088028675474091
2018-05-16,44.72224426269531,0.0092894370867571,0.009332717821529002
