,price,log_yield,yield
2018-05-01,88.76863098144531,0.0157018075375733,0.01582572866320464
2018-05-02,87.3763656616211,-0.0158085025538995,-0.0156842040305345
2018-05-03,87.89962005615234,0.0059706519045578,0.005988511773969085
2018-05-04,88.91812133789062,0.0115204790925346,0.011587095383206902
2018-05-07,89.90858459472656,0.01107746608632,0.011139048395682583
2018-05-08,89.52548217773438,-0.004270125578785,-0.00426102155560637
2018-05-09,90.58135986328124,0.0117251490317055,0.01179415804151307
2018-05-10,91.48772430419922,0.0099563518133313,0.010006081188072224
2018-05-11,91.29150390625,-0.0021470762870667,-0.002144772967538011
2018-05-14,91.59986877441406,0.0033721127011008,0.0033778046693231367
2018-05-15,90.93645477294922,-0.0072688756912822,-0.007242521308612915
2018-05-16,91.17106628417967,0.0025766276940956,0.002579950052113089
